card_id	page_start	page_end	chapter	topic	text_fact	image_formula_gap	inference	unverified	evidence_level	source_ref
PT-085	85	85	IV 数学知识	容斥原理与 Nim 引入	文本层出现枚举质数集合乘积的容斥代码，并引出必胜/必败态和 Nim	公式/博弈线索存在但无 text-gap；定理/异或结论未独立核验	推断：可作为容斥到组合博弈的主题转折页	容斥符号、集合边界、博弈定理、溢出和测试未验证	E1-TEXT	pymupdf.md:p85;matrix.tsv:p85
PT-086	86	86	IV 数学知识	Nim 与台阶 Nim	文本层列出必胜/必败态结论并给出普通 Nim 异或、台阶 Nim 奇数层代码	公式/变量缺口：必胜/必败条件中的公式及图文内容有空洞	推断：可定位 Nim 状态结论和台阶变体	缺失公式、证明、先后手边界、异或代码正确性和测试未验证	E1-GAP	pymupdf.md:p86;matrix.tsv:p86
PT-087	87	87	IV 数学知识	台阶 Nim 与集合 Nim SG	文本层出现奇数台阶结论、集合 Nim、sg 递归和 mex 代码	公式/变量缺口：台阶 Nim 结论中的条件在文本层为空洞	推断：可作为 SG 函数与博弈模板回源入口	结论公式、mex 状态、递归缓存、复杂度和测试未验证	E1-GAP	pymupdf.md:p87;matrix.tsv:p87
PT-088	88	88	V 动态规划	SG 续与背包分类	文本层补出 SG 结论，说明 DP 最优子结构/无后效性/重复子问题和四类背包	图片缺口：page-088-image-01.jpeg 为 DP 分类图，分类关系/图中文字未转录	推断：可作为动态规划和背包分类入口	分类图、状态定义、转移、复杂度和模板测试未验证	E1-GAP	pymupdf.md:p88;matrix.tsv:p88
PT-089	89	89	V 动态规划	01 背包二维状态	文本层说明每件物品只能装一次并出现 v/w/f 二维 DP 代码开头	图片缺口：page-089-image-01.png、page-089-image-02.png 的 01 背包状态图/表未转录	推断：可定位二维 01 背包模板	图片状态关系、初始化、容量边界、复杂度和测试未验证	E1-GAP	pymupdf.md:p89;matrix.tsv:p89
PT-090	90	90	V 动态规划	01 背包滚动数组与完全背包	文本层给出倒序滚动数组转移并引出完全背包和正序遍历代码	公式/转移线索存在但无 text-gap；转移正确性未独立验证	推断：可作为循环方向对照学习入口	状态定义、循环方向、初始化、复杂度和测试未验证	E1-TEXT	pymupdf.md:p90;matrix.tsv:p90
PT-091	91	91	V 动态规划	完全背包与多重背包	文本层说明完全背包循环方向、多重背包转移和二进制优化思路	公式/转移线索存在但无 text-gap；精确边界未独立验证	推断：可定位背包优化分流	循环依赖、二进制拆分、容量/数量边界、复杂度和测试未验证	E1-TEXT	pymupdf.md:p91;matrix.tsv:p91
PT-092	92	92	V 动态规划	多重背包二进制优化与分组背包	文本层补出二进制拆分代码并说明分组背包每组只能选一件	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为多重到分组背包的定位页	拆分剩余量、分组互斥、循环方向、复杂度和测试未验证	E1-TEXT	pymupdf.md:p92;matrix.tsv:p92
PT-093	93	93	V 动态规划	分组背包与数字三角形	文本层出现分组背包转移式/代码并引出线性 DP 数字三角形	图片/公式缺口：page-093-image-01.png 的数字三角形状态图/公式未转录	推断：可定位分组背包到线性 DP 的过渡页	图片状态、转移边界、负值初始化、复杂度和测试未验证	E1-GAP	pymupdf.md:p93;matrix.tsv:p93
PT-094	94	94	V 动态规划	数字三角形与 LIS	文本层出现三角形 DP 递推以及 O(n^2) LIS 代码	公式/转移线索存在但无 text-gap；精确递推和边界未独立验证	推断：可作为线性 DP 模板入口	三角形边界、LIS 严格性、初始化、复杂度和测试未验证	E1-TEXT	pymupdf.md:p94;matrix.tsv:p94
PT-095	95	95	V 动态规划	LIS 二分优化与 LCS	文本层出现 tails/二分更新 LIS 和 LCS 标题/代码开头	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位序列 DP 与二分优化对照	tails 不变量、严格/非严格 LIS、LCS 状态和复杂度未验证	E1-TEXT	pymupdf.md:p95;matrix.tsv:p95
PT-096	96	96	V 动态规划	编辑距离	文本层定义删除/插入/替换并出现编辑距离状态转移代码续写	图片/公式缺口：page-096-image-01.png 的编辑距离图/状态关系未转录	推断：可定位字符串 DP 的编辑距离模板	图片状态、初始化、操作代价、复杂度和测试未验证	E1-GAP	pymupdf.md:p96;matrix.tsv:p96
PT-097	97	97	V 动态规划	区间 DP 石子合并	文本层说明相邻石堆合并和代价，并引出区间 DP 状态转移	图片/公式缺口：page-097-image-01.png 的区间状态图/说明未转录	推断：可作为区间 DP 回源定位页	区间定义、枚举顺序、前缀和、复杂度和测试未验证	E1-GAP	pymupdf.md:p97;matrix.tsv:p97
PT-098	98	98	V 动态规划	区间 DP 实现与整数划分	文本层出现 f[l][r] 最小代价代码、前缀和和整数划分完全背包写法	公式/转移线索存在但无 text-gap；实现正确性未独立验证	推断：可定位区间 DP 到计数 DP 的衔接	区间初始化、分割点、计数去重、模数和测试未验证	E1-TEXT	pymupdf.md:p98;matrix.tsv:p98
PT-099	99	99	V 动态规划	整数划分与数位统计 DP	文本层出现整数划分转移、数位统计题目和 count/power10 代码开头	图片/公式缺口：page-099-image-01.png 的数位 DP 分类图/状态说明未转录	推断：可作为计数 DP 到数位 DP 的定位页	分类覆盖、前导零、状态边界、复杂度和测试未验证	E1-GAP	pymupdf.md:p99;matrix.tsv:p99
PT-100	100	100	V 动态规划	数位 DP 与状态压缩 DP	文本层补出数位统计按位分类并引出蒙德里安梦想和状态压缩 DP	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位数位/状态压缩 DP 过渡	前导零处理、状态合法性、位掩码规模、复杂度和测试未验证	E1-TEXT	pymupdf.md:p100;matrix.tsv:p100
PT-101	101	101	V 动态规划	状态压缩 DP 与 Hamilton 路径	文本层出现列状态合法性、兼容状态和 Hamilton 状态定义/代码	公式/变量缺口：状态转移方程标题后的数学表达式有空洞	推断：可定位状态压缩到 Hamilton DP 的模板入口	缺失公式、状态兼容条件、初始化、复杂度和测试未验证	E1-GAP	pymupdf.md:p101;matrix.tsv:p101
PT-102	102	102	V 动态规划	Hamilton DP 与树形 DP	文本层补出 Hamilton 最短路径转移并引出没有上司的舞会树形 DP	公式/变量缺口：Hamilton 转移文字与版面存在变量空洞	推断：可定位集合状态 DP 到树形 DP 的过渡页	缺失变量、子树状态语义、根处理、复杂度和测试未验证	E1-GAP	pymupdf.md:p102;matrix.tsv:p102
PT-103	103	103	V 动态规划	树形 DP 与记忆化搜索	文本层出现树形 DP 两状态转移、根选取和滑雪记忆化搜索代码	公式/变量缺口：状态转移方程标题及滑雪状态关系有空洞	推断：可定位树形 DP/记忆化搜索模板	缺失状态说明、递归依赖、边界、复杂度和测试未验证	E1-GAP	pymupdf.md:p103;matrix.tsv:p103
PT-104	104	104	VI 贪心	记忆化搜索续与贪心定义	文本层补出滑雪 dp(a,b)+1 递推，并给出贪心“局部到全局”定义	复杂度/转移线索存在但无 text-gap；定义引用未作外部核验	推断：可作为 DP 到贪心章节的过渡入口	记忆化状态、递归方向、贪心可证性、复杂度和测试未验证	E1-TEXT	pymupdf.md:p104;matrix.tsv:p104
PT-105	105	105	VI 贪心	区间选点	文本层定义闭区间至少选一点并出现按右端点排序的代码	图片/公式缺口：page-105-image-01.png 的区间示意图未转录；区间题变量有 text-gap	推断：可定位右端点贪心候选模板	闭区间端点、示意图关系、最优性证明、复杂度和测试未验证	E1-GAP	pymupdf.md:p105;matrix.tsv:p105
PT-106	106	106	VI 贪心	最大不相交区间	文本层定义不含端点相交的区间选择，并写出与最少覆盖点数的等价说明	公式/变量缺口：题面区间变量和精确关系有 text-gap	推断：可定位区间选点与不相交区间的对偶线索	等价命题证明、端点严格性、变量和复杂度未验证	E1-GAP	pymupdf.md:p106;matrix.tsv:p106
PT-107	107	107	VI 贪心	区间分组	文本层出现按左端点排序、小根堆维护组右端点和分组代码	图片缺口：page-107-image-01.png 的分组步骤图未转录	推断：可作为区间分组贪心模板定位页	堆顶比较方向、端点相交规则、最优性、复杂度和测试未验证	E1-IMAGE	pymupdf.md:p107;matrix.tsv:p107
PT-108	108	108	VI 贪心	Huffman 树与合并果子	文本层描述每次合并两堆、总代价并给出小根堆代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 Huffman/优先队列贪心模板	最优性证明、整数溢出、堆边界、复杂度和测试未验证	E1-TEXT	pymupdf.md:p108;matrix.tsv:p108
PT-109	109	109	VII 杂项	排序不等式与排队打水	文本层说明按时间排序并出现等待时间累加代码，同时引出 AC 自动机	公式/变量缺口：人数、水龙头数、时间变量和等待总和公式在文本层有空洞	推断：可定位排序不等式/排队模板，AC 自动机从本页开始	缺失公式、并行水龙头模型、排序适用条件、复杂度和测试未验证	E1-GAP	pymupdf.md:p109;matrix.tsv:p109
PT-110	110	110	VII 杂项	AC 自动机构建	文本层出现 Trie 插入、BFS 构建 fail 指针、转移补全和计数累加代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 AC 自动机 build 模板	fail 定义、重复模式计数、根转移、数组容量和测试未验证	E1-TEXT	pymupdf.md:p110;matrix.tsv:p110
PT-111	111	111	VII 杂项	AC 自动机匹配	文本层补出多模式匹配、沿 fail 链累加并清零计数的代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 AC 查询实现定位页	计数去重策略、fail 链终止、状态清理、复杂度和测试未验证	E1-TEXT	pymupdf.md:p111;matrix.tsv:p111
PT-112	112	112	VII 杂项	树状数组基础	文本层补出 AC 代码收尾并引出 Fenwick lowbit、单点更新、前缀查询	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位树状数组基础模板	下标从 1、lowbit、范围查询转换、复杂度和测试未验证	E1-TEXT	pymupdf.md:p112;matrix.tsv:p112
PT-113	113	113	VII 杂项	树状数组统计楼兰图腾	文本层出现 Lower/Greater、左右扫描和树状数组统计乘积代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位树状数组与逆序关系统计题	重复值处理、坐标范围、乘积溢出、复杂度和测试未验证	E1-TEXT	pymupdf.md:p113;matrix.tsv:p113
PT-114	114	114	VII 杂项	线段树模板与懒标记	文本层出现 Node、build、pushup/pushdown、update/query 以及 TODO 占位	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为线段树结构模板定位页	维护信息、懒标记语义、区间边界、TODO 部分和测试未验证	E1-TEXT	pymupdf.md:p114;matrix.tsv:p114
PT-115	115	115	VII 杂项	线段树区间查询续	文本层补出 update/query 分治并引出维护最大值的线段树实现	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位区间修改/查询的实现过渡	pushdown、返回值、区间覆盖、组合运算和测试未验证	E1-TEXT	pymupdf.md:p115;matrix.tsv:p115
PT-116	116	116	VII 杂项	线段树单点修改与区间最大值	文本层给出 query、modify、pushup 及滚动输入应用代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为区间最大值线段树模板定位页	初始化、边界区间、懒标记/单点语义、复杂度和测试未验证	E1-TEXT	pymupdf.md:p116;matrix.tsv:p116
PT-117	117	117	VII 杂项	倍增 LCA 预处理	文本层出现 LCA 链接、BFS 深度、fa[j][k] 倍增祖先预处理代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位树上倍增预处理模板	根/哨兵、倍增层数、树是否连通、复杂度和测试未验证	E1-TEXT	pymupdf.md:p117;matrix.tsv:p117
PT-118	118	118	VII 杂项	LCA 查询	文本层出现深度对齐、从高位向下跳和返回最近公共祖先的代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为 LCA 查询模板定位页	祖先边界、fa[0]、层数上限、复杂度和测试未验证	E1-TEXT	pymupdf.md:p118;matrix.tsv:p118
PT-119	119	119	VII 杂项	LCA 应用与输入输出	文本层补出 BFS 建表、LCA 查询和祖孙关系输出应用	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 LCA 应用题模板	输入根标记、编号、深度哨兵、递归/迭代边界和测试未验证	E1-TEXT	pymupdf.md:p119;matrix.tsv:p119
PT-120	120	120	附录/说明	数据范围反推复杂度	文本层出现题单、时间限制和按数据范围选择 DFS/DP/图算法/数据结构的列表	公式/变量缺口：复杂度数量级和范围表达式在文本层有空洞，且页面向量对象偏多	推断：可作为复习选择索引，不是独立算法证明	复杂度表精确值、适用条件、公式版面和所有推荐均未验证	E1-GAP	pymupdf.md:p120;matrix.tsv:p120
PT-121	121	121	附录/说明	来源说明与高精度/FFT 线索	文本层说明资料来源/整理性质，并出现高精度、FFT/NTT 与位数线索	公式/变量缺口：末尾复杂度/位数表达式在文本层有空洞	推断：可作为来源边界和后续复核提示	来源外部事实、复杂度表达式、FFT/NTT 细节和代码均未验证	E1-GAP	pymupdf.md:p121;matrix.tsv:p121
