page	chapter	topic_anchor	pdf_text_chars	pdf_text_nonws	pdf_text_words	md_page_marker	text_evidence	formula_signal	formula_status	raster_image_objects	asset_files	asset_status	vector_drawings	layout_status	ocr_status	evidence_grade	learning_use
110	VII 杂项	应用	1198	753	182	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
111	VII 杂项	}	1459	902	170	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
112	VII 杂项	[楼兰图腾题解 - AcWing]：https://www.acwing.com/solution/content/13818/	813	627	110	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	22	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
113	VII 杂项	int Lower[N], Greater[N];	1018	720	149	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
114	VII 杂项	[浅谈线段树 - AcWing]：https://www.acwing.com/file_system/file/content/whole/index/content/6505356/	878	645	123	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
115	VII 杂项	应用	975	632	180	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
116	VII 杂项	//查询以u为根节点，区间[l, r]中的最大值	1178	770	171	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
117	VII 杂项	[AcWing 1172. 祖孙询问(树上倍增LCA)题解 - AcWing]：https://www.acwing.com/solution/content/20554/	1257	722	162	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
118	VII 杂项	应用	1035	751	150	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
119	VII 杂项	while(q.size())	1168	663	131	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	8	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
120	附录/说明	能力全面提升综合题单 - 题单https://www.luogu.com.cn/training/9391	1096	806	135	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster; vector-heavy	170	vector-heavy-unreviewed	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
121	附录/说明	此笔记适用于AcWing网站的算法基础课，所有的资源链接、代码模板全部来源于网络，这个文档只是做了一些收集和	153	139	9	present	present; normalized-match	rendered-math/variable-visible	text-gap-unverified	0	-	no-raster-asset	33	text-order-only	not-run; prior OCR auth failure recorded	E1-GAP	finite locator/template only; visual review required
